"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.878214542E0,-8.888367131E-1,-1.274877550E1,8.245589147E0,1.520891344E1
2.888220542E0,-1.053414784E0,-1.525461848E1,1.243796559E1,1.971081063E1
2.898226541E0,-2.911246228E0,-1.824165690E1,1.625844859E1,2.460834313E1
2.908233542E0,-5.734055657E0,-2.178686118E1,1.885152033E1,2.937561119E1
2.918239542E0,-7.897948787E0,-2.566454281E1,1.970051616E1,3.330400411E1
2.928246542E0,-8.151703328E0,-2.812667902E1,1.880204353E1,3.480053420E1
2.938252541E0,-7.616919909E0,-2.832223798E1,1.718752788E1,3.399378984E1
2.948258542E0,-7.243355334E0,-2.753376667E1,1.548517653E1,3.240933810E1
2.958265542E0,-6.923050708E0,-2.673076387E1,1.368981002E1,3.082001406E1
2.968271542E0,-6.252192054E0,-2.578292788E1,1.129907884E1,2.883606176E1
2.978277541E0,-5.250034255E0,-2.445454339E1,8.780259715E0,2.650812164E1
2.988284542E0,-4.149357305E0,-2.278424414E1,6.701754060E0,2.410917781E1
2.998290542E0,-2.462956576E0,-2.064102676E1,5.006595372E0,2.138186470E1
3.008297542E0,-6.749745083E-1,-1.788815296E1,3.986904112E0,1.833949321E1
3.018303541E0,1.359339645E0,-1.463589536E1,3.733148986E0,1.516554116E1
3.028309542E0,3.834183025E0,-1.139624202E1,4.125284318E0,1.271193385E1
3.038316542E0,8.023821799E0,-8.049966454E0,5.582476532E0,1.266284804E1
3.048322542E0,1.739128698E1,-3.580320311E0,6.701636531E0,1.897860607E1
3.058329541E0,2.867209560E1,3.700782601E0,5.357810719E0,2.940222770E1
3.068335542E0,3.526684737E1,1.100900431E1,2.979506331E0,3.706516096E1
3.078341542E0,3.823441456E1,1.404209307E1,-2.828374225E-1,4.073242973E1
3.088348542E0,3.881009399E1,1.181384314E1,2.881460511E0,4.067054340E1
3.098354541E0,4.049535978E1,9.913310945E0,1.985686135E1,4.617838066E1
3.108361542E0,4.336778342E1,9.909047155E0,3.476595617E1,5.645906094E1
3.118367542E0,4.576474422E1,1.022944885E1,4.008409470E1,6.169106974E1
3.128373542E0,4.501688534E1,8.399574401E0,3.527879908E1,5.780714904E1
3.138380541E0,3.925016480E1,7.644847380E0,2.558437748E1,4.747188114E1
3.148386542E0,3.199329070E1,7.867949063E0,1.595584933E1,3.660689007E1
3.158393542E0,2.791291417E1,6.160460351E0,1.016423368E1,3.033799096E1
3.168399542E0,2.537631952E1,3.244836313E0,8.532875715E0,2.696843568E1
3.178405541E0,2.185827205E1,-2.170246714E-1,8.395723425E0,2.341621935E1
3.188412542E0,1.754050558E1,-3.965938920E0,8.145276654E0,1.974192339E1
3.198418542E0,1.351862226E1,-7.925110273E0,8.022133123E0,1.760440685E1
3.208425542E0,1.002156863E1,-1.155372040E1,7.673968268E0,1.711169430E1
3.218431541E0,6.630594615E0,-1.449895708E1,6.762687310E0,1.731815466E1
3.228437542E0,3.131854073E0,-1.672062888E1,6.116295746E0,1.807752787E1
